epoch,train_loss_total,train_loss_coordinate,train_loss_bone,train_loss_symmetry,train_nme,train_pck_0.05,train_pck_0.10,train_pck_0.20,train_bone_length_error,train_seconds,monitor_loss_total,monitor_loss_coordinate,monitor_loss_bone,monitor_loss_symmetry,monitor_nme,monitor_pck_0.05,monitor_pck_0.10,monitor_pck_0.20,monitor_bone_length_error,monitor_seconds,learning_rate,batch_size,best_epoch,best_monitor_nme,epochs_without_improvement
55,0.012207846432456764,0.0091435740449543,0.008882034825039313,0.016875273114465,0.1129686314770127,0.3286604001962575,0.6356382259364775,0.8782105940399111,0.06661706732922207,155.17823430150747,0.05024408621622397,0.04442306234142401,0.019728173240576886,0.017779654183488543,0.21367636275236884,0.20718659151812507,0.4172048763272876,0.659582263449141,0.09571259922998662,14.846994310617447,0.001,8192,50,0.20922321690147047,5
56,0.012347631309792318,0.009261514854810589,0.00893056987437947,0.0170694803410161,0.11311807885505457,0.32955657941742095,0.6364994470370712,0.8780223239691451,0.06658822684903759,232.2087742164731,0.04822989877059247,0.04240849677594726,0.01966444896962048,0.018105800707040428,0.21066766807737933,0.21080461984290744,0.4267336887226999,0.6668801668719654,0.09431635015686468,17.517343923449516,0.001,8192,50,0.20922321690147047,6
57,0.012093035401947989,0.009021809393707204,0.008815918442468358,0.017344928675363032,0.1122690691506852,0.3308099385957432,0.6386774870825872,0.8800744875452384,0.06643914666118907,232.16391129791737,0.047436769785839536,0.04168431517788509,0.01946073918852708,0.01774542058071383,0.20866562439914066,0.21453310127816858,0.42696341870556415,0.6708472100744236,0.09385453743334936,34.8066570609808,0.001,8192,57,0.20866562439914066,0
58,0.011953456523913454,0.008939389550459356,0.008780310518080491,0.01637978579231181,0.11178989634033394,0.3327986379999529,0.6409701024103629,0.8809550701750423,0.06621006485549727,289.9762946739793,0.048110414274500905,0.04234971807196776,0.01963292787872069,0.017049305692312337,0.2108463638069472,0.2094484151010574,0.4236855349950486,0.6659038949266377,0.09452120243316016,17.925797641277313,0.001,8192,57,0.20866562439914066,1
59,0.011801214371977816,0.008814876112731932,0.008737981692220235,0.016036853240372944,0.11113232700491545,0.33516119268336503,0.6434450849856819,0.8828275807301401,0.06603044138803378,147.45176070928574,0.04884267473331047,0.04311170381759918,0.019762904837642762,0.015804880143789675,0.21173494616490554,0.21056607935241942,0.4210879752974953,0.6630103331828974,0.0941012729072447,13.459004171192646,0.001,8192,57,0.20866562439914066,2
60,0.011797904474763013,0.008837912396660232,0.008722879950125405,0.015585439855262657,0.1112530404055754,0.33482230303490146,0.6423724695202773,0.8821153701363484,0.06599451730983988,171.30814830958843,0.04755716167316159,0.041845653444110176,0.01951077700131726,0.01667628709932553,0.20989186547079586,0.21048213286043443,0.4230449719360155,0.6661071061822595,0.09460674479352174,19.2028641179204,0.001,8192,57,0.20866562439914066,3
61,0.01190162823117583,0.008943749850500077,0.00875688833867325,0.015373125173216692,0.11163166217881755,0.33437098336595406,0.641481139885649,0.8811067681660675,0.0661126094137098,137.08971790224314,0.04782778908384481,0.04209994961319787,0.019780912377505646,0.015652210961012873,0.21072642591613897,0.21498811226901468,0.42602245416451906,0.6640131467458777,0.09410837585275489,20.873993672430515,0.001,8192,57,0.20866562439914066,4
62,0.011980921964565383,0.008993899743398195,0.00879821604177059,0.015749363855788595,0.11167824107238937,0.3346867455055123,0.6416570408771636,0.8816231648542001,0.06600013787363035,135.53830194473267,0.0473563192710967,0.04165062300316684,0.019471740122840506,0.016755211729379146,0.2094851217362646,0.21168373815995936,0.425311214500739,0.6682098914485922,0.09363186750205035,22.75816460698843,0.001,8192,57,0.20866562439914066,5
63,0.011668739416619904,0.008706994167528948,0.008673876018837108,0.01586552270358514,0.11039571504079164,0.33838442261350493,0.6467716086259665,0.8844833051271553,0.06567859902566996,111.30824334919453,0.048591522799550334,0.04283803792637998,0.019643318757292246,0.01685311080427926,0.211809859625321,0.2097090593597296,0.4212867669695287,0.6618264266751429,0.09526577276159906,17.939063645899296,0.001,8192,57,0.20866562439914066,6
64,0.011553761205467875,0.008628082727390607,0.008630108409510928,0.015363029180223904,0.11008321651981151,0.33871255910617604,0.6473245954198618,0.8852977166981236,0.06561249548462797,116.24343791604042,0.046565195243618795,0.04093480850802893,0.019312403214051355,0.016045723684586902,0.2076252617171865,0.21482908210570667,0.4275907219632215,0.6715054253278795,0.0936710335564485,18.108054094016552,0.001,8192,64,0.2076252617171865,0
